,id,timestamp,layer_type,method,local_port,remote_port,req_cf_ray,req_content_length,resp_content_length,resp_vary,status_code,target
105,JXTOJNr4,08/Jun/2025:07:47:59 +0000,,POST,1234,38842,94c6c8c52bbca8de-SIN,90.0,62,Origin,401,ssrf
106,YGz4Papo,08/Jun/2025:07:47:59 +0000,,POST,1234,38842,94c6c8c7fbf5b486-SIN,84.0,62,Origin,401,ssrf
107,W1UliW0y,08/Jun/2025:07:48:27 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c9757ee94027-SIN,131.0,33,Origin,200,BENIGN
108,xQDCh2qy,08/Jun/2025:07:48:27 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c979eb514027-SIN,131.0,33,Origin,200,BENIGN
109,YJMrfCtD,08/Jun/2025:07:48:28 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c97e5ece4027-SIN,131.0,33,Origin,200,BENIGN
110,QsHoQ6cx,08/Jun/2025:07:48:29 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c98319924027-SIN,131.0,33,Origin,200,BENIGN
111,54glaeiY,08/Jun/2025:07:48:30 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c987ecd64027-SIN,131.0,33,Origin,200,BENIGN
112,4vkjxahT,08/Jun/2025:07:48:30 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c98c4fd64027-SIN,131.0,33,Origin,200,BENIGN
113,r1LWBCic,08/Jun/2025:07:48:31 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c990cab84027-SIN,131.0,33,Origin,200,BENIGN
114,5zQT40Q7,08/Jun/2025:07:48:32 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c9952e0a4027-SIN,131.0,33,Origin,200,BENIGN
115,56tdibBm,08/Jun/2025:07:48:32 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c999b9754027-SIN,131.0,33,Origin,200,BENIGN
116,WtTRR8vJ,08/Jun/2025:07:48:33 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c99e0cf74027-SIN,131.0,33,Origin,200,BENIGN
117,AEnJQVvT,08/Jun/2025:07:48:34 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c9a268754027-SIN,131.0,33,Origin,200,BENIGN
118,TJxXILeL,08/Jun/2025:07:48:35 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c9a6fb634027-SIN,131.0,33,Origin,200,BENIGN
119,QXy888tc,08/Jun/2025:07:48:35 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c9ab7e294027-SIN,131.0,33,Origin,200,BENIGN
120,1K2TTxkb,08/Jun/2025:07:48:36 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c9afe9274027-SIN,131.0,33,Origin,200,BENIGN
121,9VuXzq1S,08/Jun/2025:07:48:37 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c9b48c7b4027-SIN,131.0,33,Origin,200,BENIGN
